,transaction_id,seller,customer_first_name,customer_last_name,total_cost,ticket_quantity,sales_channel,commission_rate,reseller_location
0,52dfc03c-108f-48b5-b204-b5c33ae0477f,organizer,Megan,Li,74,7.4,mobile,0.0,West Jasmine
1,dba16259-aed7-4a4b-9377-aed77edb578f,reseller,Katherine,Mccoy,98,9.8,mobile,0.1,Port Jeffrey
2,b0cebbb2-2669-46f8-856b-b990d05ce423,reseller,Robert,Banks,88,8.8,web,0.1,Josephland
3,41f5f6c1-4b83-4503-abf9-d19430b6b838,reseller,Jonathan,Miller,28,2.8,mobile,0.1,West Derekside
4,c0bc28e6-503e-4509-863b-8309885efb2e,organizer,William,Elliott,33,3.3,office,0.0,Chapmanbury
5,86018828-f7a9-405a-9830-de1f5824b0a3,reseller,Richard,Le,27,2.7,office,0.1,Michaelport
6,936758bf-bc00-4326-9f23-2547ab4811d2,organizer,Kristen,Davis,31,3.1,web,0.0,Marissaville
7,9b8ac74f-eab3-413e-9207-5a726e806b4e,reseller,Kevin,Thomas,79,7.9,office,0.1,Ortizside
8,74855977-81d7-4998-b769-5e62cee91091,reseller,Thomas,Harris,82,8.2,web,0.1,New Gary
9,ef75bbe2-3acb-45c6-8ae8-7a156f4d4e7e,reseller,Brandy,Sanchez,18,1.8,web,0.1,Andersonbury
10,8a3cdb57-0fd8-4d58-801e-3044e1c460d0,reseller,Rebecca,Mack,82,8.2,office,0.1,Port Amandaville
11,9e6f8916-678a-465a-9f3e-def13bcb85d8,organizer,William,Rodriguez,69,6.9,office,0.0,North Joseph
12,64c84232-a418-4f09-92c1-2a521faffd24,reseller,Juan,Murray,88,8.8,web,0.1,Port Melissaport
13,c2b90353-68e1-43d1-89f6-9825bd1da176,organizer,Katelyn,Harris,94,9.4,office,0.0,Jamestown
14,a5c6e30b-b3ee-4e8a-949c-0b5573eccba2,organizer,Christine,Carr,42,4.2,web,0.0,West Crystalburgh
15,d10f81d1-ee13-4433-89da-2614b67e5a5e,organizer,John,Castro,63,6.3,mobile,0.0,New Michaelfurt
16,332368ed-061c-47f0-9fa4-f67e0ef545e3,reseller,Renee,Holland,58,5.8,mobile,0.1,Adamsborough
17,8c1de233-6438-49d3-9be8-26678d5320a6,reseller,Tonya,Osborn,43,4.3,mobile,0.1,Perezberg
18,25fd3bf5-eb91-413e-9920-c7dde43e3cbb,organizer,Lisa,Foster,90,9.0,web,0.0,Lake Williammouth
19,c37620b3-4135-45c0-abf2-b623504e55f3,reseller,Rachel,Barnes,97,9.7,office,0.1,Walkerberg
